City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Chuy,UY,2022-03-29 02:24:10,-33.6971,-53.4616,63.77,80,0,9.44
99,Yellowknife,CA,2022-03-29 02:20:18,62.456,-114.3525,12.42,86,75,3.44
100,Yantikovo,RU,2022-03-29 02:24:10,55.8216,47.9104,21.92,95,100,18.97
101,Ambilobe,MG,2022-03-29 02:24:10,-13.2,49.05,72.12,96,7,2.89
102,Hobart,AU,2022-03-29 02:14:42,-42.8794,147.3294,70.27,62,20,5.75
103,Santa Cruz,BO,2022-03-29 02:24:11,-17.8,-63.1667,74.66,88,100,4.61
104,Khatanga,RU,2022-03-29 02:14:49,71.9667,102.5,-0.6,94,100,11.48
105,East London,ZA,2022-03-29 02:17:01,-33.0153,27.9116,78.3,49,32,2.51
106,Lorengau,PG,2022-03-29 02:24:11,-2.0226,147.2712,82.29,78,98,11.14
107,Lavrentiya,RU,2022-03-29 02:21:25,65.5833,-171.0,9.07,80,4,6.51
108,Cidreira,BR,2022-03-29 02:24:12,-30.1811,-50.2056,70.84,80,0,12.35
109,Coquimbo,CL,2022-03-29 02:19:04,-29.9533,-71.3436,56.93,94,0,5.75
110,Hasaki,JP,2022-03-29 02:24:12,35.7333,140.8333,52.29,57,100,11.18
111,Tuatapere,NZ,2022-03-29 02:21:25,-46.1333,167.6833,66.0,62,100,4.88
112,Asau,RO,2022-03-29 02:24:13,46.4333,26.4,32.92,62,80,6.6
113,Mahebourg,MU,2022-03-29 02:24:13,-20.4081,57.7,73.26,94,20,5.75
114,Nishihara,JP,2022-03-29 02:24:13,26.1842,127.7558,70.88,92,100,9.22
115,Kroya,ID,2022-03-29 02:24:14,-7.6331,109.2461,83.25,73,100,2.66
116,Maniitsoq,GL,2022-03-29 02:24:14,65.4167,-52.9,21.42,75,8,7.16
117,Dargaville,NZ,2022-03-29 02:24:14,-35.9333,173.8833,73.26,58,2,8.77
118,Cayenne,GF,2022-03-29 02:24:15,4.9333,-52.3333,81.09,1,75,4.61
119,Nuuk,GL,2022-03-29 02:24:15,64.1835,-51.7216,29.01,93,100,6.91
120,Sawankhalok,TH,2022-03-29 02:24:15,17.316,99.8319,80.49,89,40,2.3
121,Stokmarknes,NO,2022-03-29 02:24:16,68.5646,14.9108,15.78,79,75,0.0
122,Carnarvon,AU,2022-03-29 02:24:16,-24.8667,113.6333,82.47,65,40,14.97
123,Dzhida,RU,2022-03-29 02:24:16,50.6772,106.1806,20.23,77,99,2.98
124,Valdivia,CL,2022-03-29 02:24:11,-39.8142,-73.2459,55.49,82,35,6.6
125,Turukhansk,RU,2022-03-29 02:24:17,65.8167,87.9833,18.43,91,100,14.83
126,Shakhovskaya,RU,2022-03-29 02:24:17,56.0283,35.5097,30.4,85,46,15.17
127,Canandaigua,US,2022-03-29 02:24:17,42.8742,-77.288,22.57,83,97,10.0
128,Cockburn Town,TC,2022-03-29 02:19:40,21.4612,-71.1419,76.69,67,1,18.07
129,Vaini,TO,2022-03-29 02:17:45,-21.2,-175.2,82.56,78,75,12.66
130,Kimbe,PG,2022-03-29 02:24:18,-5.5502,150.1429,77.45,92,100,3.6
131,Grindavik,IS,2022-03-29 02:24:18,63.8424,-22.4338,37.87,81,75,16.11
132,Shieli,KZ,2022-03-29 02:24:18,44.1667,66.75,37.26,74,100,23.24
133,Geraldton,AU,2022-03-29 02:20:21,-28.7667,114.6,82.81,65,75,25.32
134,Parkes,AU,2022-03-29 02:25:19,-33.1333,148.1833,75.63,61,100,8.9
135,Srednekolymsk,RU,2022-03-29 02:25:19,67.45,153.6833,11.12,78,8,9.71
136,Velyka Pysarivka,UA,2022-03-29 02:25:20,50.4259,35.485,42.31,65,21,18.16
137,Rovaniemi,FI,2022-03-29 02:25:20,66.5,25.7167,13.41,79,0,11.5
138,Saint-Joseph,RE,2022-03-29 02:25:20,-21.3667,55.6167,75.58,77,15,4.29
139,Vardo,NO,2022-03-29 02:25:21,70.3705,31.1107,28.92,68,100,27.29
140,Thinadhoo,MV,2022-03-29 02:25:21,0.5333,72.9333,81.5,64,2,5.44
141,Aktau,KZ,2022-03-29 02:25:21,43.65,51.2,36.18,54,6,13.02
142,Cape Town,ZA,2022-03-29 02:16:24,-33.9258,18.4232,64.27,76,75,18.41
143,Xai-Xai,MZ,2022-03-29 02:25:21,-25.0519,33.6442,67.08,86,0,3.06
144,Te Anau,NZ,2022-03-29 02:25:22,-45.4167,167.7167,66.6,54,91,1.59
145,Kodiak,US,2022-03-29 02:16:16,57.79,-152.4072,38.71,87,100,4.61
146,Gat,IL,2022-03-29 02:23:03,31.61,34.7642,63.28,41,83,7.85
147,Arraial Do Cabo,BR,2022-03-29 02:25:22,-22.9661,-42.0278,75.47,88,100,7.94
148,Inuvik,CA,2022-03-29 02:25:23,68.3499,-133.7218,0.46,50,0,9.22
149,Faanui,PF,2022-03-29 02:20:19,-16.4833,-151.75,82.62,68,38,15.08
150,Kieta,PG,2022-03-29 02:25:23,-6.2167,155.6333,83.17,80,82,8.72
