City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Baracoa,CU,82.24,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
95,Chiredzi,ZW,73.38,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
97,Hithadhoo,MV,83.16,few clouds,-0.6,73.0833,Scoop Guest House
98,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
101,Rock Sound,BS,77.22,clear sky,24.9,-76.2,Pink Corral Bay Property
103,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
104,Awjilah,LY,74.48,overcast clouds,29.1081,21.2869,المنزل
110,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
116,Avera,US,71.11,scattered clouds,33.194,-82.5271,
117,Atambua,ID,71.08,clear sky,-9.1061,124.8925,Kost Alfa Flat
118,Kapaa,US,76.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
119,Magadi,IN,84.4,clear sky,12.9667,77.2333,Gobi centre
124,Viedma,AR,73.31,overcast clouds,-40.8135,-62.9967,Hotel Cristal
128,Bubaque,GW,75.2,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
130,Touros,BR,81.46,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
132,Bilma,NE,84.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
133,Saint George,US,72.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
135,Rawson,AR,78.8,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
139,Pacifica,US,72.41,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
143,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
146,Axim,GH,81.93,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
158,Bambous Virieux,MU,77.25,moderate rain,-20.3428,57.7575,Casa Tia Villa
163,Butaritari,KI,82.22,light rain,3.0707,172.7902,Isles Sunset Lodge
166,Huarmey,PE,75.02,overcast clouds,-10.0681,-78.1522,Hotel Miramar
167,Bandarbeyla,SO,80.31,clear sky,9.4942,50.8122,JABIR HOTEL
171,Charagua,BO,72.97,clear sky,-19.8,-63.2167,Hotel
174,Bonthe,SL,80.67,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
175,Kavieng,PG,81.66,moderate rain,-2.5744,150.7967,Nusa Island Retreat
176,Truth Or Consequences,US,71.91,clear sky,33.1284,-107.2528,Charles Motel
179,Samarai,PG,79.88,moderate rain,-10.6167,150.6667,Nuli Sapi
180,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
185,Yacuiba,BO,74.17,clear sky,-22.038,-63.6797,Hotel Monumental
188,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
