City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Rock Sound,BS,24.9,-76.2,77.22,83,2,12.8,clear sky
102,Chicama,PE,-7.8447,-79.1469,68.54,59,62,11.1,broken clouds
103,Vaini,TO,-21.2,-175.2,73.56,100,40,3.44,scattered clouds
104,Awjilah,LY,29.1081,21.2869,74.48,20,100,17.38,overcast clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,0,6.91,clear sky
106,Codrington,AU,-38.2667,141.9667,55.53,73,100,9.31,overcast clouds
107,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,3.0,overcast clouds
108,Iqaluit,CA,63.7506,-68.5145,24.53,92,100,4.61,overcast clouds
109,Chulman,RU,56.8479,124.9104,15.26,94,100,4.36,overcast clouds
110,Vila Velha,BR,-20.3297,-40.2925,84.15,82,20,12.66,few clouds
111,Shiyan,CN,32.6475,110.7781,53.15,62,100,4.21,overcast clouds
112,Saravan,AM,39.7196,45.6483,38.88,55,89,6.73,overcast clouds
113,Bilibino,RU,68.0546,166.4372,-7.83,83,100,2.08,overcast clouds
114,Hermanus,ZA,-34.4187,19.2345,63.81,79,7,13.76,clear sky
115,Saldanha,ZA,-33.0117,17.9442,64.45,80,0,26.78,clear sky
116,Avera,US,33.194,-82.5271,71.11,32,41,13.27,scattered clouds
117,Atambua,ID,-9.1061,124.8925,71.08,87,6,3.83,clear sky
118,Kapaa,US,22.0752,-159.319,76.19,76,40,16.11,scattered clouds
119,Magadi,IN,12.9667,77.2333,84.4,43,5,5.44,clear sky
120,Beyneu,KZ,45.3167,55.2,56.48,45,27,4.85,scattered clouds
121,Bredasdorp,ZA,-34.5322,20.0403,64.36,71,93,12.86,light rain
122,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,80,75,5.75,broken clouds
123,Rocha,UY,-34.4833,-54.3333,63.73,55,38,7.63,scattered clouds
124,Viedma,AR,-40.8135,-62.9967,73.31,16,100,18.72,overcast clouds
125,Okhotsk,RU,59.3833,143.3,4.21,77,73,15.17,broken clouds
126,Stromness,GB,58.965,-3.296,40.96,75,34,5.99,scattered clouds
127,Stornoway,GB,58.2093,-6.3865,42.76,83,20,17.27,few clouds
128,Bubaque,GW,11.2833,-15.8333,75.2,73,3,18.43,clear sky
129,Seoul,KR,37.5683,126.9778,38.64,93,0,0.0,clear sky
130,Touros,BR,-5.1989,-35.4608,81.46,76,100,10.94,overcast clouds
131,College,US,64.8569,-147.8028,17.8,35,0,12.66,clear sky
132,Bilma,NE,18.6853,12.9164,84.78,4,0,5.44,clear sky
133,Saint George,US,37.1041,-113.5841,72.63,30,0,4.0,clear sky
134,Katangli,RU,51.7102,143.2326,6.01,90,21,8.93,few clouds
135,Rawson,AR,-43.3002,-65.1023,78.8,15,36,18.97,scattered clouds
136,Tezu,IN,27.9167,96.1667,67.78,87,100,2.1,overcast clouds
137,Astoria,US,46.1879,-123.8313,50.43,72,100,4.61,overcast clouds
138,Yulara,AU,-25.2406,130.9889,64.24,29,100,5.75,overcast clouds
139,Pacifica,US,37.6138,-122.4869,72.41,78,0,7.0,clear sky
140,Beaune,FR,47.0833,4.75,34.63,84,100,8.1,light snow
141,Tasiilaq,GL,65.6145,-37.6368,35.76,90,100,4.45,overcast clouds
142,Duldurga,RU,50.6761,113.5931,27.61,82,100,4.52,overcast clouds
143,Isangel,VU,-19.55,169.2667,77.11,94,100,2.3,overcast clouds
144,Nouadhibou,MR,20.931,-17.0347,69.78,64,0,17.27,clear sky
145,Kodiak,US,57.79,-152.4072,36.91,100,100,5.75,light rain
146,Axim,GH,4.8699,-2.2405,81.93,82,100,9.13,overcast clouds
147,Airai,TL,-8.9266,125.4092,56.98,82,49,1.99,scattered clouds
148,Verkhovazhye,RU,60.7472,42.0465,11.23,95,41,0.65,scattered clouds
149,Nikki,BJ,9.9401,3.2108,93.99,20,65,5.55,broken clouds
150,Devils Lake,US,48.1128,-98.8651,50.11,43,0,19.57,clear sky
151,Lata,PT,40.1629,-8.3327,47.41,65,0,3.51,clear sky
152,Condado,CU,21.8767,-79.8403,88.68,51,13,10.0,few clouds
153,Kuito,AO,-12.3833,16.9333,62.28,92,100,2.44,moderate rain
154,Yellowknife,CA,62.456,-114.3525,-4.59,64,20,11.5,few clouds
155,Malanje,AO,-9.5402,16.341,65.77,96,50,4.03,scattered clouds
156,Lebu,CL,-37.6167,-73.65,60.3,77,0,16.2,clear sky
157,Timmins,CA,48.4669,-81.3331,26.42,54,20,13.8,few clouds
158,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,12.66,moderate rain
159,Kaitangata,NZ,-46.2817,169.8464,42.96,92,64,6.98,broken clouds
160,Tamworth,GB,52.634,-1.6959,41.36,82,35,1.01,scattered clouds
161,Yar-Sale,RU,66.8333,70.8333,7.9,94,65,10.56,broken clouds
162,Christchurch,NZ,-43.5333,172.6333,53.94,90,26,3.44,scattered clouds
163,Butaritari,KI,3.0707,172.7902,82.22,76,100,20.11,light rain
164,Guanay,BO,-15.4975,-67.8797,65.16,97,100,1.95,overcast clouds
165,Vestmanna,FO,62.1564,-7.1664,34.72,80,100,13.8,overcast clouds
166,Huarmey,PE,-10.0681,-78.1522,75.02,73,88,11.14,overcast clouds
167,Bandarbeyla,SO,9.4942,50.8122,80.31,76,6,10.16,clear sky
168,Bonaventure,CA,48.0457,-65.4926,36.18,87,100,5.75,overcast clouds
169,Shenzhen,CN,22.5455,114.0683,61.21,93,100,13.44,overcast clouds
170,Nioro,GM,13.35,-15.75,91.65,22,5,14.83,clear sky
171,Charagua,BO,-19.8,-63.2167,72.97,31,7,7.74,clear sky
172,Coquimbo,CL,-29.9533,-71.3436,65.55,69,0,6.4,clear sky
173,Arlit,NE,18.7369,7.3853,89.04,3,99,6.96,overcast clouds
174,Bonthe,SL,7.5264,-12.505,80.67,81,100,11.07,overcast clouds
175,Kavieng,PG,-2.5744,150.7967,81.66,75,100,8.34,moderate rain
176,Truth Or Consequences,US,33.1284,-107.2528,71.91,22,0,13.8,clear sky
177,Sitka,US,57.0531,-135.33,40.89,87,100,0.0,mist
178,Narsaq,GL,60.9167,-46.05,52.02,57,65,9.73,broken clouds
179,Samarai,PG,-10.6167,150.6667,79.88,80,100,11.59,moderate rain
180,Avarua,CK,-21.2078,-159.775,75.25,100,69,2.3,broken clouds
181,Aguada De Pasajeros,CU,22.385,-80.8508,91.2,44,1,12.53,moderate rain
182,Tuatapere,NZ,-46.1333,167.6833,44.33,91,17,3.58,few clouds
183,Lavrentiya,RU,65.5833,-171.0,16.92,88,100,10.45,overcast clouds
184,Roshni-Chu,RU,43.0895,45.4544,47.7,53,100,5.61,overcast clouds
185,Yacuiba,BO,-22.038,-63.6797,74.17,38,2,0.0,clear sky
186,Castro,BR,-24.7911,-50.0119,56.32,97,100,5.03,overcast clouds
187,Halifax,CA,44.6453,-63.5724,53.49,99,100,31.07,light intensity drizzle
188,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
